"latitude","longitude","brightness","daynight","acq_date","acq_time","daynight.1","type","datetime","city","state","population","wildfire","temp_C","wind","humidity","cloud_cover","precipitation","ndvi","soil_moisture","elevation"
-11.9453,133.6608,331.9,"D","2020-08-29",134,"D",0,"2020-08-29 01:34:00",NA,NA,NA,1,32.1,19.4,36,67,0,0.5134,0.0511441566050053,34
-32.74,122.1839,375.7,"D","2020-01-27",550,"D",0,"2020-01-27 05:50:00","Esperance","Western Australia",2080,1,33,6.8,34,54,0,0.4064,0.107777886092663,308
-26.1147,150.2572,356.2,"D","2020-11-23",342,"D",0,"2020-11-23 03:42:00","Kingaroy","Queensland",10020,1,28.3,9.9,23,0,0,0.3377,0.112941943109035,381
-16.1859,137.2904,359.5,"D","2020-10-28",447,"D",0,"2020-10-28 04:47:00",NA,NA,NA,1,28.4,12,58,0,0,0.367,0.187915235757828,8
-25.0881,147.7909,351.5,"D","2020-11-15",432,"D",0,"2020-11-15 04:32:00",NA,NA,NA,1,25.5,9.2,42,17,0,0.3487,0.0627370625734329,703
-37.4032,149.5463,459.6,"D","2020-01-04",404,"D",0,"2020-01-04 04:04:00","Eden","New South Wales",3151,1,18.5,23.3,61,28,0,0.5159,0.119607537984848,326
-36.3703,147.822,331.6,"D","2020-01-04",404,"D",0,"2020-01-04 04:04:00","Jindabyne","New South Wales",2233,1,28.2,17,47,38,0,0.52855,0.0612769722938538,438
-35.6151,148.9291,336.5,"D","2020-01-27",411,"D",0,"2020-01-27 04:11:00","Canberra","Australian Capital Territory",381488,1,23,9.3,39,93,0,0.4855,0.155847117304802,1015
-17.1587,144.2597,314.1,"N","2020-11-16",1610,"N",0,"2020-11-16 16:10:00","Mareeba","Queensland",8585,1,23.4,11.6,63,0,0,0.2865,0.0949785932898521,289
-17.3138,138.7221,378.9,"D","2020-07-30",123,"D",0,"2020-07-30 01:23:00",NA,NA,NA,1,29.2,17.4,17,0,0,0.2903,0.0522158294916153,35
-16.677,143.6164,422.5,"D","2020-11-17",422,"D",0,"2020-11-17 04:22:00",NA,NA,NA,1,35.7,19.7,19,0,0,0.3916,0.10897982865572,168
-20.7378,139.4701,305.7,"N","2020-03-08",1334,"N",2,"2020-03-08 13:34:00",NA,NA,NA,1,21.5,22.6,65,0,0,0.1596,0.143016815185547,387
-14.2774,129.7056,326.7,"D","2020-06-15",442,"D",0,"2020-06-15 04:42:00",NA,NA,NA,1,28.8,9.7,54,19,0,0.6799,0.215700849890709,122
-25.0471,149.7046,324.5,"D","2020-10-02",407,"D",0,"2020-10-02 04:07:00",NA,NA,NA,1,24.1,11.6,38,0,0,0.5058,0.0553056113421917,386
-32.9287,119.2352,312.3,"D","2020-09-24",633,"D",0,"2020-09-24 06:33:00",NA,NA,NA,1,13.5,29.1,67,44,0,0.5426,0.090349018573761,377
-36.0212,147.8238,307.2,"N","2020-01-03",1602,"N",0,"2020-01-03 16:02:00","Albury","New South Wales",4804,1,18,3.5,42,0,0,0.52115,0.0651869401335716,1017
-14.984,125.5351,342.8,"D","2020-10-13",531,"D",0,"2020-10-13 05:31:00",NA,NA,NA,1,27.7,8.7,68,0,0,0.3795,0.0515486299991608,232
-30.8653,121.5042,300.7,"N","2020-03-17",1639,"N",2,"2020-03-17 16:39:00","Boulder","Western Australia",4825,1,18.2,13.5,75,100,0,0.2955,0.0555316023528576,347
-12.0034,142.161,326.1,"D","2020-07-18",347,"D",0,"2020-07-18 03:47:00","Thursday Island","Queensland",2805,1,25.7,19.2,53,1,0,0.6503,0.274280339479446,42
-21.4618,115.0232,311,"D","2020-12-04",219,"D",3,"2020-12-04 02:19:00",NA,NA,NA,1,27.1,18.2,69,98,0,-0.9999,0.0606481656432152,0
-27.6909,149.4112,345.6,"D","2020-11-28",400,"D",0,"2020-11-28 04:00:00",NA,NA,NA,1,32,7.2,18,0,0,0.2332,0.0731028467416763,252
