"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness","temp_C","wind","humidity","cloud_cover","precipitation","ndvi","elevation","soil_moisture"
0,"2020-04-19 20:04:35.144063",NA,NA,NA,-19.9213326626852,136.963332303671,"D",0,26.5,5.6,25,66,0,0.2304,232,0.160388931632042
0,"2020-08-31 19:51:14.923242",NA,NA,NA,-26.1849032236066,131.42113086288,"N",0,13.3,14.8,41,0,0,0.1038,948,0.0505191683769226
0,"2020-01-27 20:27:16.303799","Bourke","New South Wales",1535,-30.0045079089537,145.638155626305,"D",0,35.7,6.9,36,13,0,0.2098,116,0.149632483720779
0,"2020-05-25 20:28:40.091618",NA,NA,NA,-25.8930334761368,113.743309907045,"D",0,16,16.3,81,78,0,0.2322,17,0.0376259982585907
0,"2020-08-22 10:01:24.561172",NA,NA,NA,-32.6806844771425,123.931337330797,"N",0,13.1,12.3,62,100,0,0.3591,148,0.159241646528244
0,"2020-07-19 09:06:56.911435","Rutherglen","Victoria",2324,-36.4495728517767,146.45578533331,"N",0,8.1,18.5,82,39,0.1,0.8374,163,0.237332314252853
0,"2020-04-11 19:48:13.911478",NA,NA,NA,-23.4363384727902,124.237657312642,"D",0,22.4,8.7,26,0,0,0.1773,381,0.0366634540259838
0,"2020-04-25 21:09:52.564285",NA,NA,NA,-20.1329134709174,128.921845328284,"D",0,26.4,12.5,26,0,0,0.2573,449,0.0691594183444977
0,"2020-04-06 19:29:16.316162",NA,NA,NA,-28.8583999179863,127.712917773612,"N",0,18.9,13.3,45,100,0,0.271,293,0.0463272519409657
0,"2020-02-02 19:31:23.402511","New Norfolk","Tasmania",5432,-42.2325532065986,146.834926475575,"N",0,5.8,21.6,83,86,0.2,0.2946,596,0.22204901278019
0,"2020-08-17 16:38:15.034026",NA,NA,NA,-20.2627792041236,132.834368545661,"N",0,19.8,4,39,0,0,0.2056,320,0.0340213403105736
0,"2020-06-03 19:53:36.119027",NA,NA,NA,-26.8034185823019,131.590429085195,"D",0,7.9,13,87,0,0,0.1857,557,0.0335749723017216
0,"2020-08-14 09:37:40.76073",NA,NA,NA,-24.2178670810473,119.163448663196,"D",0,13.6,11.6,32,0,0,0.1288,579,0.0962339863181114
