"latitude","longitude","brightness","daynight","acq_date","acq_time","daynight.1","type","datetime","city","state","population","wildfire","temp_C","wind","humidity"
42.5244,-120.5313,399.9,"D","2020-09-13",2203,"D",0,"2020-09-13 22:03:00","Paisley","Oregon",271,1,26.1,17.3,9
38.7715,-76.9764,303.5,"D","2020-11-06",1807,"D",2,"2020-11-06 18:07:00","Friendly","Maryland",11673,1,12.8,9.8,83
33.2736,-108.4873,344.4,"D","2020-07-08",1815,"D",0,"2020-07-08 18:15:00","Gila Hot Springs","New Mexico",0,1,29.1,15.5,16
41.118,-123.4157,312.9,"N","2020-09-07",956,"N",0,"2020-09-07 09:56:00","Hoopa","California",2274,1,28.3,4.3,21
40.5249,-122.5403,326,"N","2020-09-28",1014,"N",0,"2020-09-28 10:14:00","Igo","California",109,1,23.2,17.2,19
37.3202,-119.101,311.7,"N","2020-09-25",530,"N",0,"2020-09-25 05:30:00","Big Creek","California",83,1,6.1,5.1,53
35.278,-94.0964,313.3,"D","2020-03-05",1844,"D",0,"2020-03-05 18:44:00","Charleston","Arkansas",2611,1,17.8,18.4,31
37.6047,-119.241,328.5,"N","2020-10-02",950,"N",0,"2020-10-02 09:50:00","Mammoth Lakes","California",7233,1,10,6.5,21
39.7809,-108.3844,339.5,"D","2020-07-14",1736,"D",0,"2020-07-14 17:36:00","Parachute","Colorado",1513,1,26.6,23.6,26
39.7213,-121.0131,311.3,"N","2020-09-10",1026,"N",0,"2020-09-10 10:26:00","Little Grass Valley","California",10,1,12.1,9.8,22
29.6041,-82.8801,309.5,"D","2020-12-11",1836,"D",0,"2020-12-11 18:36:00","Fanning Springs","Florida",1154,1,14.2,7.7,69
44.6288,-119.3237,342.4,"D","2020-12-01",2120,"D",0,"2020-12-01 21:20:00","Long Creek","Oregon",154,1,3.2,4.6,38
41.765,-99.6907,321,"D","2020-04-01",2005,"D",0,"2020-04-01 20:05:00","Anselmo","Nebraska",90,1,18.5,12.5,49
34.6933,-118.6051,404.8,"N","2020-08-21",636,"N",0,"2020-08-21 06:36:00","Lake Hughes","California",875,1,23.9,14.3,21
29.1701,-95.2075,352.6,"D","2020-01-07",1943,"D",0,"2020-01-07 19:43:00","Danbury","Texas",1671,1,14.4,5.3,54
38.945,-96.1427,326.8,"D","2020-04-07",1928,"D",0,"2020-04-07 19:28:00","Eskridge","Kansas",388,1,26.4,5.1,39
41.921,-123.6111,326,"D","2020-09-14",2107,"D",0,"2020-09-14 21:07:00","Takilma","Oregon",665,1,21.7,13.2,24
30.0584,-82.6047,313.6,"D","2020-03-18",1637,"D",0,"2020-03-18 16:37:00","Watertown","Florida",2797,1,31.2,8.6,32
39.8931,-123.1394,385.9,"D","2020-10-09",2101,"D",0,"2020-10-09 21:01:00","Covelo","California",1495,1,20.1,7.4,32
33.4825,-110.2916,348.5,"D","2020-07-13",2010,"D",0,"2020-07-13 20:10:00","San Carlos","Arizona",4769,1,34.7,19.2,21
31.2205,-97.7884,333.5,"D","2020-08-19",2027,"D",0,"2020-08-19 20:27:00","Fort Hood","Texas",25786,1,33.2,17.8,24
38.7725,-97.2037,310.3,"D","2020-04-15",2017,"D",0,"2020-04-15 20:17:00","Navarre","Kansas",68,1,13.8,8.2,34
44.7589,-116.6817,327.5,"N","2020-09-15",1043,"N",0,"2020-09-15 10:43:00","Council","Idaho",824,1,17.2,3.6,46
41.1635,-123.284,343.4,"N","2020-09-28",601,"N",0,"2020-09-28 06:01:00","Weitchpec","California",87,1,9.4,1.8,58
32.3955,-89.3708,311.1,"D","2020-11-02",1654,"D",0,"2020-11-02 16:54:00","Lake","Mississippi",523,1,14.2,6.8,39
32.8547,-84.1617,326.5,"D","2020-11-23",1849,"D",0,"2020-11-23 18:49:00","Culloden","Georgia",358,1,11.6,11.4,57
29.9782,-90.7117,300.8,"D","2020-12-18",1707,"D",0,"2020-12-18 17:07:00","North Vacherie","Louisiana",1933,1,13,13.4,64
39.0484,-96.4406,326.2,"D","2020-04-21",1800,"D",0,"2020-04-21 18:00:00","Zeandale","Kansas",21,1,22.4,12.3,31
37.8413,-119.6197,336.4,"D","2020-09-23",2100,"D",0,"2020-09-23 21:00:00","Yosemite Valley","California",1848,1,19,9.4,21
35.8966,-79.9545,312.7,"D","2020-06-01",1617,"D",2,"2020-06-01 16:17:00","Archdale","North Carolina",11992,1,23.4,2.2,35
35.9403,-89.7104,310.1,"D","2020-11-16",1706,"D",2,"2020-11-16 17:06:00","Armorel","Arkansas",392,1,14.5,11.4,43
