"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness","cloud_cover","temp_C","wind","humidity","precipitation","ndvi","soil_moisture","elevation"
0,"2020-03-21 12:03:44.616282","Rankin","Texas",1189,31.1988425245771,-101.803100238972,"D",0,100,6.2,15.5,84,0.2,0.2308,0.194635331630707,840
0,"2020-12-06 01:05:44.304702","Buffalo","South Dakota",282,45.5272160708971,-103.709058537715,"D",0,71,-0.1,7.5,69,0,0.2119,0.0678031146526337,930
0,"2020-04-27 23:59:18.247579","North Rock Springs","Wyoming",2338,41.6803845529219,-109.361071584032,"N",0,93,15,31,34,0,0.1825,0.167692229151726,2132
0,"2020-12-26 05:42:38.099551","Lime Ridge","Wisconsin",201,43.4185455356404,-90.3051477631748,"D",0,30,-8.2,10.4,73,0,0.2786,0.273750424385071,332
0,"2020-01-20 11:58:10.119403","Stanton","Kentucky",3211,37.8054036480543,-83.6948884558611,"D",0,38,-4.5,7.3,53,0,0.6058,0.369896203279495,352
0,"2020-04-24 13:02:44.124902","Lake Shastina","California",2908,41.6051703802084,-122.320869259341,"D",0,88,15.4,2,47,0,0.762,0.1526088565588,904
0,"2020-12-26 03:29:28.050994","Butternut","Wisconsin",421,46.0401919083285,-90.5059844708495,"D",0,94,-7.7,15,88,0,0.0972,0.21560275554657,475
0,"2020-02-06 13:34:13.665571","Greene","Iowa",1390,42.9214061733912,-92.8097639849051,"N",0,0,-3.5,6.9,60,0,-0.0138,0.336827009916306,307
0,"2020-12-04 12:53:35.002899","Rozel","Kansas",111,38.1629716417007,-99.4587654176112,"D",0,0,9.1,14.6,28,0,0.2967,0.279533267021179,645
0,"2020-01-28 09:07:28.686467","Beatty","Nevada",637,36.9213331522635,-117.410675159869,"D",0,48,8.2,2.3,33,0,0.1101,0.0681609213352203,1315
0,"2020-02-04 02:41:28.836607","Freeport","Ohio",676,40.1471375703398,-81.2799467102213,"D",0,100,9.1,14.5,100,1.4,0.4321,0.355973154306412,326
0,"2020-11-07 01:24:52.916492","Conner","Montana",102,45.9007768061897,-114.374638432875,"D",0,91,1.7,4.5,87,0,0.1847,0.16744302213192,2129
0,"2020-01-07 10:45:22.420083","Kenny Lake","Alaska",232,61.7994138323684,-144.491082555203,"N",0,89,-22.1,0.7,65,0,0.0639,0.206619262695312,0
0,"2020-10-10 13:44:43.963694","Winnett","Montana",173,46.8654282283954,-108.075938864275,"N",0,70,24.5,23.8,15,0,0.191,0.148679986596107,959
0,"2020-03-30 00:35:00.800722","Van Horn","Texas",1965,31.1252686135822,-104.691660574038,"D",0,60,16.2,4.3,26,0,0.2096,0.120523348450661,1138
0,"2020-03-15 22:53:58.581503","Tawas City","Michigan",1654,44.3106666394761,-83.5770409793659,"N",0,15,-3.3,14.1,63,0,0.4169,0.184761166572571,212
0,"2020-12-01 00:02:26.786295","Willshire","Ohio",409,40.6773278865728,-84.7534302312204,"N",0,100,-0.1,21.5,73,0.1,0.2143,0.343316078186035,248
0,"2020-01-25 07:43:44.466881","Summersville","West Virginia",3397,38.3012414748828,-81.022738935943,"N",0,100,2.8,10.8,100,0.3,0.3779,0.307163655757904,495
0,"2020-01-31 04:04:09.445139","Aguila","Arizona",208,34.038628287031,-113.414063322885,"D",0,0,5.4,6.3,44,0,0.2542,0.0985988527536392,1286
0,"2020-01-13 10:30:36.113755","Kwigillingok","Alaska",461,60.0569776073019,-163.387460255248,"D",0,92,-3.2,23.7,88,0,-0.085,0.717348754405975,0
0,"2020-12-04 13:16:22.371244",NA,NA,NA,68.6595162181707,-159.703858702507,"D",0,96,-16.1,25.2,87,0,-0.9999,0.676739513874054,0
0,"2020-02-17 00:42:33.148079","Lime Village","Alaska",9,61.5669063379452,-153.849729323876,"D",0,100,-18,3.5,93,0.1,-0.0871,0.286169111728668,0
0,"2020-11-29 10:58:56.088238","Ute Park","New Mexico",0,36.7585149216908,-105.102072066677,"N",0,0,-3.5,16.2,48,0,0.3432,0.188244625926018,2520
0,"2020-04-15 23:37:53.435472","Zurich","Montana",45,48.6038979213908,-109.122369345952,"D",0,100,2.3,17.3,57,0.1,0.2675,0.20315283536911,753
0,"2020-01-30 00:08:39.996967","Clearfield Colony","South Dakota",70,43.158095343851,-98.1289893231,"N",0,94,-3,14.3,96,0,-0.0204,0.31593257188797,529
0,"2020-02-26 03:08:53.172429","Soldier Creek","South Dakota",271,43.3043044512619,-100.955966004751,"D",0,10,-6.8,12,88,0,0.1991,0.231848642230034,792
0,"2020-03-19 10:21:44.526016",NA,NA,NA,69.5964422264093,-147.859556093613,"D",0,100,-5.2,21.5,61,0,-0.031,0.293179333209991,0
0,"2020-03-30 08:23:02.837214","Oldtown","Maryland",75,39.5536618635889,-78.6148021400178,"N",0,0,9.6,11.3,68,0,0.499,0.263355642557144,175
0,"2020-12-17 01:06:17.436749","Marfa","Texas",2179,29.9843022283702,-104.001346781314,"N",0,0,3.7,12.6,35,0,0.1902,0.0823368057608604,1222
0,"2020-05-16 10:23:43.324233","Daniel","Wyoming",148,42.7807852745264,-110.364450869204,"D",0,0,1.9,5.9,62,0,0.3337,0.301200747489929,2357
0,"2020-12-18 00:31:38.889405","Portland","Texas",20369,27.8602639309499,-97.3421413006835,"N",0,0,12.9,11.3,73,0,-0.9999,0.27315628528595,3
0,"2020-04-12 01:48:58.508866","Hinckley","Minnesota",1665,46.0386207140614,-92.7793589085085,"D",0,100,2.5,20.6,52,0,0.3453,0.253290593624115,322
0,"2020-11-10 11:31:04.504776","Nuiqsut","Alaska",529,70.4556247094259,-151.571909283409,"D",0,100,-10.8,39.3,72,0,-0.9999,0.654602408409119,0
0,"2020-03-29 07:58:28.048635","Russell Springs","Kansas",27,38.7065752134034,-101.136760206184,"D",0,0,2.1,14.6,62,0,0.2523,0.189473211765289,929
0,"2020-12-09 12:54:55.291893","Munising","Michigan",1907,46.5310419881588,-86.815435812534,"D",0,0,5,15.5,72,0,-0.0218,0.271912038326263,179
0,"2020-08-25 13:31:14.742819","Takotna","Alaska",67,63.0096905907321,-156.868507019271,"D",0,26,9.8,0.7,91,0,0.7317,0.320140659809113,0
0,"2020-08-05 13:18:18.091701","Somerset","Texas",2048,29.2147703493068,-98.6914930235687,"D",0,0,33.2,10.5,42,0,0.4858,0.0834452360868454,207
0,"2020-03-31 01:52:02.285429","Savonburg","Kansas",120,37.7459374507692,-95.1107008866176,"N",0,74,9.1,10,93,0.2,0.3867,0.464369803667068,331
0,"2020-11-12 12:33:57.036944","Osino","Nevada",1067,41.069657593356,-115.976310393122,"D",0,0,-2.7,7.4,50,0,0.1708,0.100351862609386,1917
0,"2020-01-26 12:44:31.78247","Earth","Texas",937,34.231841992272,-102.384564394169,"D",0,54,11.9,3.1,42,0,0.6787,0.214491993188858,1126
0,"2020-12-19 01:26:36.578257","Kaktovik","Alaska",153,69.6497918215525,-143.336314271211,"N",0,81,-32.2,8.9,84,0,-0.9999,0.248979091644287,0
