"wildfire","datetime","brightness","longitude","latitude","datetime_utc","sza","computed_daynight_sza","nearest_city","state","nearest_city_population","AQI","temp_C","elevation"
0,"2020-06-14 02:14:13.722595",0,124.417469633214,-24.6814852825954,2020-06-13 16:14:13.722595,172.714279015499,"D",NA,NA,NA,319.76,21,435.90869140625
0,"2020-11-07 21:49:28.918564",0,121.941399306326,-33.7631782751377,2020-11-07 10:49:28.918564,95.3458052597219,"D","Esperance","Western Australia",2080,238.666666666667,13.6,48.4394340515137
0,"2020-06-14 02:26:56.241978",0,135.565197412079,-15.2074486960931,2020-06-13 16:26:56.241978,157.637904067558,"D",NA,NA,NA,319.255384615385,30.6,23.2659206390381
0,"2020-03-07 16:24:17.387142",0,145.305917140933,-34.672716124197,2020-03-07 05:24:17.387142,49.7496672322731,"N","Griffith","New South Wales",18196,244.591428571429,16.1,102.261215209961
0,"2020-03-11 15:45:30.873391",0,139.251008424594,-25.0631337284769,2020-03-11 04:45:30.873391,34.3642751143366,"N",NA,NA,NA,247.768571428571,23.8,109.165954589844
0,"2020-09-09 00:09:56.722488",0,119.381090011913,-32.7238406072412,2020-09-08 14:09:56.722488,142.524008505427,"D",NA,NA,NA,225.916666666667,23.5,316.547058105469
0,"2020-06-22 11:41:46.656825",0,139.956268564802,-33.5182160939612,2020-06-22 01:41:46.656825,58.7687518282331,"N","Waikerie","South Australia",1670,268.394444444444,9.9,93.5204849243164
0,"2020-11-13 11:59:24.110087",0,128.125039235397,-31.7909073462147,2020-11-13 00:59:24.110087,32.9858094446931,"N",NA,NA,NA,249.194285714286,17.9,98.8645324707031
0,"2020-06-22 17:25:30.020259",0,119.81386718619,-24.2961534945281,2020-06-22 07:25:30.020259,68.4364097972967,"N",NA,NA,NA,276.202777777778,14.4,652.724243164062
0,"2020-11-13 19:35:32.386852",0,146.617993676409,-34.0764174168517,2020-11-13 08:35:32.386852,87.3562937376722,"D","West Wyalong","New South Wales",2698,243.217142857143,14.1,160.026733398438
0,"2020-06-18 18:06:01.35523",0,141.80752712316,-26.6849087585327,2020-06-18 08:06:01.35523,94.425356087663,"D",NA,NA,NA,284.955555555556,14.9,435.90869140625
0,"2020-04-28 05:05:45.215497",0,116.511129539268,-31.7563939092208,2020-04-27 19:05:45.215497,136.626506613187,"D","Perth","Tasmania",3472,254.686486486486,18,48.4394340515137
0,"2020-03-25 21:14:35.834633",0,145.19241818864,-32.9272613489208,2020-03-25 10:14:35.834633,113.708233633841,"D",NA,NA,NA,268.06,16.5,23.2659206390381
0,"2020-12-22 21:11:14.119005",0,131.56439623059,-28.2967391722065,2020-12-22 10:11:14.119005,90.853344898482,"D",NA,NA,NA,260.609090909091,17.5,102.261215209961
0,"2020-08-31 06:55:33.364741",0,150.47721938143,-28.4943129448232,2020-08-30 20:55:33.364741,81.9760285652109,"N","Moree","New South Wales",7070,200.227027027027,19.3,109.165954589844
0,"2020-05-04 20:14:03.041507",0,146.477865319946,-27.6053803788059,2020-05-04 10:14:03.041507,124.231330189792,"D",NA,NA,NA,310.618378378378,10.2,316.547058105469
0,"2020-01-25 16:02:14.560949",0,149.992168215623,-23.8087123356748,2020-01-25 05:02:14.560949,39.5756645714046,"N","Gladstone","Queensland",34703,247.310810810811,25,93.5204849243164
0,"2020-01-01 16:22:00.917816",0,122.981021238834,-23.5757019084746,2020-01-01 05:22:00.917816,20.7174048080141,"N",NA,NA,NA,254.505714285714,37.2,98.8645324707031
0,"2020-03-02 02:10:59.247497",0,152.427517466207,-31.7031896685936,2020-03-01 15:10:59.247497,137.689964379792,"D","Wingham","New South Wales",4556,224.691891891892,30.7,652.724243164062
0,"2020-08-31 18:25:05.768198",0,122.599005180465,-33.0371420043015,2020-08-31 08:25:05.768198,77.2602476200973,"N","Esperance","Western Australia",2080,205.555555555556,16.8,160.026733398438
0,"2020-09-08 00:07:45.058675",0,135.284346547515,-14.1837370965884,2020-09-07 14:07:45.058675,165.255119490613,"D",NA,NA,NA,205.213157894737,34.2,435.90869140625
0,"2020-12-04 23:24:38.469683",0,139.907655840373,-19.6781518687807,2020-12-04 12:24:38.469683,127.88478774411,"D",NA,NA,NA,258.791891891892,31.1,48.4394340515137
0,"2020-02-16 23:22:54.11814",0,122.459203185425,-22.3819231378552,2020-02-16 12:22:54.11814,115.395154102726,"D",NA,NA,NA,237.526315789474,35.6,23.2659206390381
0,"2020-08-24 11:52:31.749678",0,152.51703911069,-27.4427322516266,2020-08-24 01:52:31.749678,38.5529857332182,"N","Ipswich","Queensland",232930,219.383333333333,7.6,102.261215209961
0,"2020-06-24 09:49:40.382833",0,141.175889453303,-18.4524231056632,2020-06-23 23:49:40.382833,58.6749080444346,"N",NA,NA,NA,257.478378378378,19,109.165954589844
0,"2020-11-27 12:56:31.344864",0,136.60302273629,-24.0450863515112,2020-11-27 01:56:31.344864,10.8161700263388,"N",NA,NA,NA,251.826470588235,30.5,316.547058105469
0,"2020-04-12 09:58:49.182214",0,124.545277007636,-32.7301351850474,2020-04-11 23:58:49.182214,67.5102061212516,"N",NA,NA,NA,229.877777777778,27.3,93.5204849243164
0,"2020-01-28 11:19:50.773527",0,135.622786002953,-25.2716502065853,2020-01-28 00:19:50.773527,40.0656995470705,"N",NA,NA,NA,233.383783783784,34.8,98.8645324707031
0,"2020-08-20 15:48:01.313709",0,148.761681202144,-30.8339597559173,2020-08-20 05:48:01.313709,68.0679724675479,"N","Gilgandra","New South Wales",2417,209.98,8.9,652.724243164062
