"wildfire","brightness","type","datetime","longitude","latitude","sza","computed_daynight_sza","nearest_city","nearest_city_population","state","datetime.1","hour_utc","datetime_utc","lat_bin","lon_bin","elevation","temp_C","AQI"
1,343.9,0,"2020-11-13 04:44:00",128.5832,-27.2587,121.505721573763,"D",NA,NA,NA,"2020-11-13 04:00:00","2020-11-12 17:44:00","2020-11-12 17:00:00",-27.3,128.6,418.430694580078,32.6,252.561111111111
1,318.8,0,"2020-09-14 04:19:00",149.8158,-26.1785,113.50296513226,"D",NA,NA,NA,"2020-09-14 04:00:00","2020-09-13 18:19:00","2020-09-13 18:00:00",-26.2,149.8,258.664825439453,23,279.428947368421
1,328.4,0,"2020-06-10 04:23:00",132.7159,-14.3296,133.439379335429,"D",NA,NA,NA,"2020-06-10 04:00:00","2020-06-09 18:23:00","2020-06-09 18:00:00",-14.3,132.7,277.912017822266,30.5,264.459459459459
1,318.9,0,"2020-05-01 05:12:00",133.2759,-13.7941,120.277725475266,"D",NA,NA,NA,"2020-05-01 05:00:00","2020-04-30 19:12:00","2020-04-30 19:00:00",-13.8,133.3,393.874725341797,26.4,258.152631578947
1,314.2,0,"2020-04-26 06:28:00",117.3148,-32.702,118.369184635037,"D","Mandurah",90306,"Western Australia","2020-04-26 06:00:00","2020-04-25 20:28:00","2020-04-25 20:00:00",-32.7,117.3,351.581970214844,20.8,193.693905817174
1,306.1,2,"2020-09-11 02:47:00",115.8095,-31.907,151.735132683253,"D","Perth",3472,"Western Australia","2020-09-11 02:00:00","2020-09-10 16:47:00","2020-09-10 16:00:00",-31.9,115.8,14.7227163314819,16.3,233.502702702703
1,362.8,0,"2020-01-10 12:57:00",144.2745,-19.7596,8.16477971562601,"N",NA,NA,NA,"2020-01-10 12:00:00","2020-01-10 01:57:00","2020-01-10 01:00:00",-19.8,144.3,929.003051757812,20.9,265.161111111111
1,323,0,"2020-04-03 06:21:00",117.4991,-34.0991,128.011367892872,"D",NA,NA,NA,"2020-04-03 06:00:00","2020-04-02 19:21:00","2020-04-02 19:00:00",-34.1,117.5,297.065887451172,14.2,246.161111111111
1,324.6,0,"2020-01-28 23:41:00",152.8106,-26.9717,130.600287865374,"D","Burpengary",6433,"Queensland","2020-01-28 23:00:00","2020-01-28 12:41:00","2020-01-28 12:00:00",-27,152.8,140.855316162109,22.2,237.688888888889
1,331.6,0,"2020-09-12 01:46:00",132.7684,-11.6333,167.703714000096,"D",NA,NA,NA,"2020-09-12 01:00:00","2020-09-11 15:46:00","2020-09-11 15:00:00",-11.6,132.8,23.2204074859619,32.1,238.797222222222
1,343.7,0,"2020-03-24 05:48:00",117.911,-20.9464,137.920118578397,"D",NA,NA,NA,"2020-03-24 05:00:00","2020-03-23 18:48:00","2020-03-23 18:00:00",-20.9,117.9,57.2680015563965,34.6,208.878947368421
1,363,0,"2020-01-04 04:04:00",149.6815,-35.9826,107.684356176166,"D","Narooma",2605,"New South Wales","2020-01-04 04:00:00","2020-01-03 17:04:00","2020-01-03 17:00:00",-36,149.7,1082.13610839844,20.5,255.231428571429
1,311.6,0,"2020-05-01 02:23:00",129.8842,-14.3762,164.31223681759,"D",NA,NA,NA,"2020-05-01 02:00:00","2020-04-30 16:23:00","2020-04-30 16:00:00",-14.4,129.9,8.71751117706299,35,275.739473684211
1,325.5,0,"2020-09-02 01:09:00",133.8704,-12.8448,175.139601822533,"D",NA,NA,NA,"2020-09-02 01:00:00","2020-09-01 15:09:00","2020-09-01 15:00:00",-12.8,133.9,286.059143066406,34.3,198.226173541963
1,326.2,0,"2020-09-08 02:11:00",130.7533,-12.6185,164.712974332511,"D","Darwin",139902,"Northern Territory","2020-09-08 02:00:00","2020-09-07 16:11:00","2020-09-07 16:00:00",-12.6,130.8,9.01592063903809,37.5,209.978378378378
1,319.1,0,"2020-06-18 05:13:00",130.1889,-11.7499,123.794511242546,"D","Darwin",139902,"Northern Territory","2020-06-18 05:00:00","2020-06-17 19:13:00","2020-06-17 19:00:00",-11.7,130.2,36.3599281311035,27.7,260.02972972973
1,312.1,0,"2020-01-04 15:06:00",152.0988,-31.4012,29.9219573882654,"N","Wingham",4556,"New South Wales","2020-01-04 15:00:00","2020-01-04 04:06:00","2020-01-04 04:00:00",-31.4,152.1,696.541015625,26,234.864864864865
1,303.3,0,"2020-04-28 04:35:00",145.7739,-36.4238,118.297884606298,"D","Mooroopna",7942,"Victoria","2020-04-28 04:00:00","2020-04-27 18:35:00","2020-04-27 18:00:00",-36.4,145.8,142.369583129883,17,194.090027700831
1,318.6,0,"2020-07-13 05:06:00",133.0644,-13.8676,124.508660066304,"D",NA,NA,NA,"2020-07-13 05:00:00","2020-07-12 19:06:00","2020-07-12 19:00:00",-13.9,133.1,356.152740478516,23.5,199.638888888889
1,324.3,0,"2020-07-17 01:52:00",130.5887,-11.6518,168.310394414746,"D","Darwin",139902,"Northern Territory","2020-07-17 01:00:00","2020-07-16 15:52:00","2020-07-16 15:00:00",-11.7,130.6,18.8355579376221,32.2,197.328947368421
1,337.1,0,"2020-01-11 04:10:00",149.5347,-37.2239,107.137217064055,"D","Eden",3151,"New South Wales","2020-01-11 04:00:00","2020-01-10 17:10:00","2020-01-10 17:00:00",-37.2,149.5,336.462799072266,14,261.213513513514
1,319.1,0,"2020-06-15 04:42:00",130.2955,-14.3409,131.530637099651,"D",NA,NA,NA,"2020-06-15 04:00:00","2020-06-14 18:42:00","2020-06-14 18:00:00",-14.3,130.3,276.642944335938,27.4,325.098947368421
1,351.3,0,"2020-11-05 05:36:00",124.2916,-16.9511,123.16277337289,"D",NA,NA,NA,"2020-11-05 05:00:00","2020-11-04 18:36:00","2020-11-04 18:00:00",-17,124.3,81.2354431152344,31.4,223.165714285714
1,386.5,0,"2020-10-03 00:33:00",140.5221,-37.0915,139.122167070448,"D","Millicent",4760,"South Australia","2020-10-03","2020-10-02 14:33:00","2020-10-02 14:00:00",-37.1,140.5,43.7760848999023,26.3,237.127777777778
1,305,0,"2020-11-22 12:24:00",151.8278,-26.853,7.58842804187945,"N","Kingaroy",10020,"Queensland","2020-11-22 12:00:00","2020-11-22 01:24:00","2020-11-22 01:00:00",-26.9,151.8,499.892639160156,16,273.071875
1,328,0,"2020-05-01 05:12:00",125.7114,-17.2352,127.962125825791,"D",NA,NA,NA,"2020-05-01 05:00:00","2020-04-30 19:12:00","2020-04-30 19:00:00",-17.2,125.7,348.370666503906,32.4,258.152631578947
1,348,0,"2020-11-02 03:25:00",149.7311,-24.2993,124.907083664202,"D","Gladstone",34703,"Queensland","2020-11-02 03:00:00","2020-11-01 16:25:00","2020-11-01 16:00:00",-24.3,149.7,175.724914550781,26.4,254.96
